InvoiceNo,StockCode,InvoiceDate,CustomerID,Country
537626,22725,12/7/2010 14:57,12347,Iceland
537626,22729,12/7/2010 14:57,12347,Iceland
537626,22195,12/7/2010 14:57,12347,Iceland
542237,22725,1/26/2011 14:30,12347,Iceland
542237,22729,1/26/2011 14:30,12347,Iceland
542237,47559,1/26/2011 14:30,12347,Iceland
542237,21154,1/26/2011 14:30,12347,Iceland
542237,21035,1/26/2011 14:30,12347,Iceland
549222,23076,4/7/2011 10:43,12347,Iceland
549222,21791,4/7/2011 10:43,12347,Iceland
549222,22550,4/7/2011 10:43,12347,Iceland
549222,22432,4/7/2011 10:43,12347,Iceland
549222,22195,4/7/2011 10:43,12347,Iceland
549222,21975,4/7/2011 10:43,12347,Iceland
556201,23171,6/9/2011 13:01,12347,Iceland
556201,23172,6/9/2011 13:01,12347,Iceland
556201,23175,6/9/2011 13:01,12347,Iceland
556201,51014,6/9/2011 13:01,12347,Iceland
556201,22725,6/9/2011 13:01,12347,Iceland
562032,23308,8/2/2011 8:48,12347,Iceland
562032,23297,8/2/2011 8:48,12347,Iceland
562032,21578,8/2/2011 8:48,12347,Iceland
562032,47559,8/2/2011 8:48,12347,Iceland
562032,21975,8/2/2011 8:48,12347,Iceland
562032,23175,8/2/2011 8:48,12347,Iceland
562032,22992,8/2/2011 8:48,12347,Iceland
562032,21791,8/2/2011 8:48,12347,Iceland
573511,47559,10/31/2011 12:25,12347,Iceland
573511,21791,10/31/2011 12:25,12347,Iceland
573511,22992,10/31/2011 12:25,12347,Iceland
573511,22561,10/31/2011 12:25,12347,Iceland
573511,22621,10/31/2011 12:25,12347,Iceland
573511,22725,10/31/2011 12:25,12347,Iceland
573511,23308,10/31/2011 12:25,12347,Iceland
573511,22195,10/31/2011 12:25,12347,Iceland
539318,21981,12/16/2010 19:09,12348,Finland
539318,84988,12/16/2010 19:09,12348,Finland
539318,22952,12/16/2010 19:09,12348,Finland
539318,22952,12/16/2010 19:09,12348,Finland
541998,21980,1/25/2011 10:42,12348,Finland
548955,23077,4/5/2011 10:47,12348,Finland
548955,23076,4/5/2011 10:47,12348,Finland
548955,22437,4/5/2011 10:47,12348,Finland
568172,23077,9/25/2011 13:13,12348,Finland
577609,22195,11/21/2011 9:51,12349,Italy
577609,84978,11/21/2011 9:51,12349,Italy
577609,22692,11/21/2011 9:51,12349,Italy
577609,22567,11/21/2011 9:51,12349,Italy
577609,21535,11/21/2011 9:51,12349,Italy
577609,21531,11/21/2011 9:51,12349,Italy
577609,21533,11/21/2011 9:51,12349,Italy
577609,23296,11/21/2011 9:51,12349,Italy
577609,23294,11/21/2011 9:51,12349,Italy
577609,23493,11/21/2011 9:51,12349,Italy
577609,22704,11/21/2011 9:51,12349,Italy
